i,step,speed,pwm
342,12723951,0.20,-102.70,1580
343,12725951,0.20,-102.70,1580
344,12727951,0.20,-102.70,1580
345,12729950,0.20,-102.77,1580
346,12731951,0.20,-102.77,1580
347,12733951,0.20,-102.77,1580
348,12735950,0.20,-102.72,1580
349,12737951,0.20,-102.72,1580
350,12739951,0.20,-102.72,1580
351,12741950,0.20,-102.73,1580
352,12743951,0.20,-102.73,1580
353,12745951,0.20,-102.73,1580
354,12747950,0.20,-102.79,1580
355,12749951,0.20,-102.79,1580
356,12751951,0.20,-102.79,1580
357,12753950,0.20,-102.74,1580
358,12755950,0.20,-102.74,1580
359,12757951,0.20,-102.74,1580
360,12759951,0.20,-102.69,1580
361,12761951,0.20,-102.69,1580
362,12763950,0.20,-102.69,1580
363,12765951,0.20,-102.71,1580
364,12767951,0.20,-102.71,1580
365,12769950,0.20,-102.71,1580
366,12771951,0.20,-102.72,1580
367,12773951,0.20,-102.72,1580
368,12775950,0.20,-102.72,1580
369,12777951,0.20,-102.79,1580
370,12779951,0.20,-102.79,1580
371,12781951,0.20,-102.79,1580
372,12783950,0.20,-102.74,1580
373,12785950,0.20,-102.74,1580
374,12787951,0.20,-102.74,1580
375,12789951,0.20,-102.86,1580
376,12791951,0.20,-102.86,1580
377,12793950,0.20,-102.86,1580
378,12795951,0.20,-102.91,1580
379,12797950,0.20,-102.91,1580
380,12799951,0.20,-102.91,1580
381,12801951,0.20,-102.91,1580
382,12803950,0.20,-102.91,1580
383,12805951,0.20,-102.91,1580
384,12807951,0.20,-102.96,1580
385,12809951,0.20,-102.96,1580
386,12811950,0.20,-102.96,1580
387,12813951,0.20,-102.94,1580
388,12815951,0.20,-102.94,1580
389,12817951,0.20,-102.94,1580
390,12819950,0.20,-102.93,1580
391,12821950,0.20,-102.93,1580
392,12823951,0.20,-102.93,1580
393,12825951,0.20,-102.98,1580
394,12827951,0.20,-102.98,1580
395,12829950,0.20,-102.98,1580
396,12831951,0.20,-102.96,1580
397,12833951,0.20,-102.96,1580
398,12835950,0.20,-102.96,1580
399,12837951,0.20,-102.95,1580
400,12839951,0.20,-102.95,1580
401,12841951,0.20,-102.95,1580
402,12843950,0.20,-102.94,1580
403,12845951,0.20,-102.94,1580
404,12847950,0.20,-102.94,1580
405,12849951,0.20,-102.93,1580
406,12851951,0.20,-102.93,1580
407,12853950,0.20,-102.93,1580
408,12855951,0.20,-103.03,1580
409,12857951,0.20,-103.03,1580
410,12859950,0.20,-103.03,1580
411,12861951,0.20,-103.01,1580
412,12863951,0.20,-103.01,1580
413,12865950,0.20,-103.01,1580
414,12867951,0.20,-103.05,1580
415,12869951,0.20,-103.05,1580
416,12871950,0.20,-103.05,1580
417,12873951,0.20,-103.09,1580
418,12875951,0.20,-103.09,1580
419,12877950,0.20,-103.09,1580
420,12879951,0.20,-103.06,1580
421,12881951,0.20,-103.06,1580
422,12883951,0.20,-103.06,1580
423,12885950,0.20,-103.04,1580
424,12887951,0.20,-103.04,1580
425,12889951,0.20,-103.04,1580
426,12891950,0.20,-103.02,1580
427,12893951,0.20,-103.02,1580
428,12895950,0.20,-103.02,1580
429,12897951,0.20,-103.00,1580
430,12899951,0.20,-103.00,1580
431,12901951,0.20,-103.00,1580
432,12903950,0.20,-102.98,1580
433,12905951,0.20,-102.98,1580
434,12907951,0.20,-102.98,1580
435,12909950,0.20,-102.97,1580
436,12911951,0.20,-102.97,1580
437,12913950,0.20,-102.97,1580
438,12915951,0.20,-103.01,1580
439,12917951,0.20,-103.01,1580
440,12919951,0.20,-103.01,1580
441,12921950,0.20,-102.94,1580
442,12923951,0.20,-102.94,1580
443,12925950,0.20,-102.94,1580
444,12927951,0.20,-102.93,1580
445,12929951,0.20,-102.93,1580
446,12931950,0.20,-102.93,1580
447,12933951,0.20,-102.97,1580
448,12935951,0.20,-102.97,1580
449,12937951,0.20,-102.97,1580
450,12939950,0.20,-102.85,1580
451,12941951,0.20,-102.85,1580
452,12943950,0.20,-102.85,1580
453,12945951,0.20,-102.79,1580
454,12947951,0.20,-102.79,1580
455,12949950,0.20,-102.79,1580
456,12951951,0.20,-102.74,1580
457,12953951,0.20,-102.74,1580
458,12955951,0.20,-102.74,1580
459,12957950,0.20,-102.63,1580
460,12959950,0.20,-102.63,1580
461,12961951,0.20,-102.63,1580
462,12963951,0.20,-102.54,1580
463,12965951,0.20,-102.54,1580
