time,measured,predicted
0.366,518.5277893486909,329.0678493769271
0.367,519.4437204138219,329.62146455333493
0.368,519.6546483724397,330.1735935153978
0.369,519.2310835351957,330.7242402529507
0.37,520.0770651816761,331.27340874511714
0.371,520.8380686635085,331.82110296033886
0.372,520.9095617971576,332.3673268564041
0.373,521.5876956174418,332.9120843804757
0.374,521.5842260556976,333.4553794691206
0.375,521.5811034501278,333.9972160483375
0.376,522.191703105115,334.5375980335856
0.377,522.1278327946036,335.07652932981296
0.378,522.0703495151432,335.61401383148416
0.379,522.6327845636289,336.1500554226092
0.38,522.5248061072659,336.6846579767713
0.381,522.4276254965393,337.2178253571543
0.382,522.9535729468854,337.74956141657157
0.383,522.8135156521969,338.27986999749317
0.384,523.3016340869772,338.80875493207384
0.385,523.7401806782794,339.33622004218057
0.386,524.1348726104515,339.86226913942045
0.387,523.8766853494063,340.386906025168
0.388,524.2584868144656,340.9101344905929
0.389,524.6013481330191,341.43195831668675
0.39,524.2965133197172,341.9523812742913
0.391,524.6355719877454,342.47140712412505
0.392,524.3273147889709,342.98903961681054
0.393,524.0498833100737,343.50528249290176
0.394,524.4143649790664,344.0201394829107
0.395,524.7416384811597,344.5336143073347
0.396,525.0361846330437,345.04571067668326
0.397,525.3020361697393,345.5564322915047
0.398,525.5405425527654,346.0657828424127
0.399,525.1417882974888,346.5737660101138
0.4,525.3963194677399,347.0803854654331
0.401,525.6261575209659,347.5856448693413
0.402,525.2188417688692,348.0895478729809
0.403,525.4656675919823,348.59209811769273
0.404,525.6878108327841,349.0932992350421
0.405,525.2743297495056,349.5931548468454
0.406,525.516366774555,350.0916685651958
0.407,525.7334400970994,350.5888439924896
0.408,525.9288060873895,351.0846847214525
0.409,526.1046354786506,351.5791943351649
0.41,526.2636419307855,352.0723764070886
0.411,525.792577737707,352.56423450109185
0.412,525.9820299639363,353.0547721714758
0.413,526.7666969675427,353.54399296299965
0.414,525.6319272707884,354.0319004109066
